dtidx,id,px
5695,sec_8,1390.99
5696,sec_8,1394.23
5697,sec_8,1401.35
5698,sec_8,1402.22
5699,sec_8,1402.8
5700,sec_8,1405.87
5701,sec_8,1404.11
5702,sec_8,1403.93
5703,sec_8,1405.53
5704,sec_8,1415.51
5705,sec_8,1418.16
5706,sec_8,1418.13
5707,sec_8,1413.17
5708,sec_8,1413.49
5709,sec_8,1402.08
5710,sec_8,1411.13
5711,sec_8,1410.43
5712,sec_8,1409.3
5713,sec_8,1410.49
5714,sec_8,1399.48
5715,sec_8,1406.58
5716,sec_8,1404.94
5717,sec_8,1403.43
5718,sec_8,1432.12
5719,sec_8,1437.92
5720,sec_8,1429.08
5721,sec_8,1433.57
5722,sec_8,1436.56
5723,sec_8,1459.99
5724,sec_8,1465.77
5725,sec_8,1461.19
5726,sec_8,1459.32
5727,sec_8,1461.05
5728,sec_8,1460.26
5729,sec_8,1460.15
5730,sec_8,1456.89
5731,sec_8,1441.59
5732,sec_8,1433.32
5733,sec_8,1447.15
5734,sec_8,1440.67
5735,sec_8,1444.49
5736,sec_8,1445.75
5737,sec_8,1450.99
5738,sec_8,1461.4
5739,sec_8,1460.93
5740,sec_8,1455.88
5741,sec_8,1441.48
5742,sec_8,1432.56
5743,sec_8,1432.84
5744,sec_8,1428.59
5745,sec_8,1440.13
5746,sec_8,1454.92
5747,sec_8,1460.91
5748,sec_8,1457.34
5749,sec_8,1433.19
5750,sec_8,1433.82
5751,sec_8,1413.11
5752,sec_8,1408.75
5753,sec_8,1412.97
5754,sec_8,1411.94
5755,sec_8,1412.16
5756,sec_8,1427.59
5757,sec_8,1414.2
5758,sec_8,1417.26
5759,sec_8,1428.39
5760,sec_8,1394.53
5761,sec_8,1377.51
5762,sec_8,1379.85
5763,sec_8,1380.03
5764,sec_8,1374.53
5765,sec_8,1355.49
5766,sec_8,1353.33
5767,sec_8,1359.88
5768,sec_8,1386.89
5769,sec_8,1387.81
5770,sec_8,1391.03
5771,sec_8,1409.15
5772,sec_8,1406.29
5773,sec_8,1398.94
5774,sec_8,1409.93
5775,sec_8,1415.95
5776,sec_8,1416.18
5777,sec_8,1409.46
5778,sec_8,1407.05
5779,sec_8,1409.28
5780,sec_8,1413.94
5781,sec_8,1418.07
5782,sec_8,1418.55
5783,sec_8,1427.84
5784,sec_8,1428.48
5785,sec_8,1419.45
5786,sec_8,1413.58
5787,sec_8,1430.36
5788,sec_8,1446.79
5789,sec_8,1435.81
